REF_AREA,Country,UNIT_MEASURE_LABEL,TIME_PERIOD,OBS_VALUE,UNIT_TYPE_LABEL
SVK,Slovak Republic,Years,2012,75.11,Number (real number)
SVN,Slovenia,Years,2012,79.42,Number (real number)
ZAF,South Africa,Years,2012,52.08,Number (real number)
ESP,Spain,Years,2012,81.63,Number (real number)
LKA,Sri Lanka,Years,2012,74.72,Number (real number)
SUR,Suriname,Years,2012,70.34,Number (real number)
SWZ,Eswatini,Years,2012,48.34,Number (real number)
SWE,Sweden,Years,2012,81.45,Number (real number)
CHE,Switzerland,Years,2012,82.25,Number (real number)
TWN,"Taiwan, China",Years,2012,79.18,Number (real number)
TJK,Tajikistan,Years,2012,67.26,Number (real number)
TZA,Tanzania,Years,2012,57.39,Number (real number)
THA,Thailand,Years,2012,73.93,Number (real number)
TLS,Timor-Leste,Years,2012,62,Number (real number)
TTO,Trinidad and Tobago,Years,2012,69.76,Number (real number)
TUR,Turkiye,Years,2012,73.7,Number (real number)
UGA,Uganda,Years,2012,53.61,Number (real number)
UKR,Ukraine,Years,2012,70.28,Number (real number)
ARE,United Arab Emirates,Years,2012,76.57,Number (real number)
GBR,United Kingdom,Years,2012,80.4,Number (real number)
USA,United States,Years,2012,78.24,Number (real number)
URY,Uruguay,Years,2012,76.24,Number (real number)
VEN,"Venezuela, RB",Years,2012,74.13,Number (real number)
VNM,Viet Nam,Years,2012,74.83,Number (real number)
YEM,"Yemen, Rep.",Years,2012,65.03,Number (real number)
ZMB,Zambia,Years,2012,48.46,Number (real number)
ZWE,Zimbabwe,Years,2012,49.86,Number (real number)
